,Actual Location,Clouds(%),Country,Date,Humidity(%),Latitude,Longitude,Max_temp,Min_temp,Pressure(hpa),Returned Location,Temparature(in celcius),Time,Weather_Condition,Weather_Description,Wind_Speed(m/s)
64,Kuala Selangor,75,MY,06/29/2018,69,3.3407,101.2496,28.0,28.0,1012,Kuala Selangor,28.0,13:02:34,Clouds,broken clouds,3.6
65,Kampung Bukit Baharu,75,MY,06/29/2018,94,2.2152,102.2851,25.0,25.0,1011,Kampung Bukit Baharu,25.0,13:02:35,Rain,light rain,4.71
66,Bandar Labuan,75,MY,06/29/2018,79,5.2888,115.2692,32.0,30.0,1009,Bandar Labuan,31.17,13:02:36,Clouds,broken clouds,2.1
67,Kota Tinggi,75,MY,06/29/2018,88,1.7331,103.9015,26.0,24.0,1011,Kota Tinggi,24.74,13:02:37,Rain,moderate rain,1.5
68,Pontian Kechil,75,MY,06/29/2018,88,1.4866,103.3896,26.0,24.0,1011,Pontian Kechil,24.73,13:02:38,Rain,moderate rain,1.5
69,Putrajaya,75,MY,06/29/2018,94,2.907,101.6751,28.0,26.0,1011,Putrajaya,27.03,13:02:39,Rain,light rain,1.5
70,Bentong Town,75,MY,06/29/2018,69,3.5167,101.9,28.0,28.0,1012,Bentong Town,28.0,13:02:40,Clouds,broken clouds,3.6
71,Banting,75,MY,06/29/2018,94,2.8171,101.4995,28.0,26.0,1011,Banting,27.03,13:02:41,Rain,light rain,1.5
72,Bedong,75,MY,06/29/2018,83,5.7275,100.5095,29.0,26.0,1010,Bedong,27.02,13:02:41,Rain,light rain,4.6
73,Batu Gajah,90,MY,06/29/2018,100,4.4705,101.037,25.0,22.0,1013,Batu Gajah,23.67,13:02:42,Rain,heavy intensity rain,2.1
74,Mentekab,12,MY,06/29/2018,73,3.4854,102.3484,30.45,30.45,1009.97,Mentekab,30.45,13:02:43,Clouds,few clouds,1.41
75,Nibong Tebal,75,MY,06/29/2018,88,5.1698,100.4775,26.0,26.0,1011,Nibong Tebal,26.0,13:02:44,Rain,light rain,2.1
76,Raub,20,MY,06/29/2018,85,3.7913,101.8535,27.8,27.8,982.09,Raub,27.8,13:02:45,Rain,light rain,1.51
77,Kampong Pangkal Kalong,75,MY,06/29/2018,66,5.9167,102.2167,31.0,31.0,1009,Kampong Pangkal Kalong,31.0,13:02:46,Clouds,broken clouds,1.5
78,Lumut,90,MY,06/29/2018,88,4.2323,100.6298,25.0,22.0,1011,Lumut,23.23,13:02:47,Rain,heavy intensity rain,2.1
79,Kuala Kangsar,90,MY,06/29/2018,100,4.7721,100.9409,25.0,22.0,1013,Kuala Kangsar,23.71,13:02:48,Rain,heavy intensity rain,2.1
80,Klebang Besar,75,MY,06/29/2018,94,2.2186,102.1995,25.0,25.0,1011,Klebang Besar,25.0,13:02:49,Rain,light rain,4.71
81,Kampung Ayer Keroh,75,MY,06/29/2018,94,2.2654,102.2801,25.0,25.0,1011,Kampung Ayer Keroh,25.0,13:02:50,Rain,light rain,4.71
82,Kampung Baharu Nilai,75,MY,06/29/2018,94,2.8033,101.7972,28.0,26.0,1011,Kampung Baharu Nilai,27.11,13:02:51,Rain,light rain,1.5
83,Tangkak,75,MY,06/29/2018,94,2.267,102.54,25.0,25.0,1011,Tangkak,25.0,13:02:52,Rain,light rain,2.21
84,Jerantut,0,MY,06/29/2018,72,3.9359,102.3652,29.65,29.65,987.92,Jerantut,29.65,13:02:53,Clear,Sky is Clear,1.16
